   Multiple Comparison of Means - Tukey HSD, FWER=0.05   
=========================================================
group1 group2  meandiff p-adj    lower     upper   reject
   C13    C20   -1.7407  0.001    -2.602   -0.8794   True
   C13    C21   -1.9874  0.001   -2.8487   -1.1261   True
   C13    C22   -1.6586  0.001   -2.5199   -0.7973   True
   C13    C23   -1.3876  0.001   -2.2489   -0.5263   True
   C13    C24   -1.7507  0.001    -2.612   -0.8894   True
   C13    C25   -1.4685  0.001   -2.3298   -0.6072   True
   C13    C26   -1.8845  0.001   -2.7458   -1.0232   True
   C13    C27   -2.0292  0.001   -2.8905    -1.168   True
   C13     C3   72.6686  0.001   71.8073   73.5299   True
   C13     C4   32.9043  0.001    32.043   33.7656   True
   C13     C5  122.4326  0.001  121.5713  123.2939   True
   C13     C6   112.185  0.001  111.3237  113.0463   True
   C13     C7   86.0006  0.001   85.1393   86.8619   True
   C13     C8  100.9914  0.001  100.1301  101.8527   True
   C13     C9    80.557  0.001   79.6957   81.4183   True
   C14    C15     0.004    0.9   -0.8573    0.8652  False
   C14    C16    0.4418    0.9   -0.4195    1.3031  False
   C14    C17     -1.23  0.001   -2.0913   -0.3687   True
   C14    C18   -0.8886 0.0357   -1.7499   -0.0273   True
   C14    C19   -0.8934 0.0336   -1.7546   -0.0321   True
   C14     C2   88.7669  0.001   87.9056   89.6282   True
   C14    C20   -1.3354  0.001   -2.1967   -0.4741   True
   C14    C21   -1.5822  0.001   -2.4434   -0.7209   True
   C14    C22   -1.2533  0.001   -2.1146    -0.392   True
   C14    C23   -0.9823 0.0102   -1.8436    -0.121   True
   C14    C24   -1.3454  0.001   -2.2067   -0.4841   True
   C14    C25   -1.0633 0.0032   -1.9245    -0.202   True
   C14    C26   -1.4793  0.001   -2.3406    -0.618   True
   C14    C27    -1.624  0.001   -2.4853   -0.7627   True
   C14     C3   73.0739  0.001   72.2126   73.9352   True
   C14     C4   33.3096  0.001   32.4483   34.1709   True
   C14     C5  122.8379  0.001  121.9766  123.6992   True
   C14     C6  112.5902  0.001  111.7289  113.4515   True
   C14     C7   86.4059  0.001   85.5446   87.2672   True
   C14     C8  101.3967  0.001  100.5354  102.2579   True
   C14     C9   80.9622  0.001   80.1009   81.8235   True
   C15    C16    0.4378    0.9   -0.4235    1.2991  False
   C15    C17   -1.2339  0.001   -2.0952   -0.3726   True
   C15    C18   -0.8925 0.0339   -1.7538   -0.0313   True
   C15    C19   -0.8973 0.0319   -1.7586    -0.036   True
   C15     C2   88.7629  0.001   87.9017   89.6242   True
   C15    C20   -1.3394  0.001   -2.2007   -0.4781   True
   C15    C21   -1.5861  0.001   -2.4474   -0.7248   True
   C15    C22   -1.2573  0.001   -2.1185    -0.396   True
   C15    C23   -0.9863 0.0096   -1.8476    -0.125   True
   C15    C24   -1.3494  0.001   -2.2107   -0.4881   True
   C15    C25   -1.0672  0.003   -1.9285   -0.2059   True
   C15    C26   -1.4832  0.001   -2.3445   -0.6219   True
   C15    C27   -1.6279  0.001   -2.4892   -0.7666   True
   C15     C3   73.0699  0.001   72.2087   73.9312   True
   C15     C4   33.3056  0.001   32.4443   34.1669   True
   C15     C5  122.8339  0.001  121.9727  123.6952   True
   C15     C6  112.5863  0.001   111.725  113.4476   True
   C15     C7   86.4019  0.001   85.5407   87.2632   True
   C15     C8  101.3927  0.001  100.5314   102.254   True
   C15     C9   80.9583  0.001    80.097   81.8196   True
   C16    C17   -1.6717  0.001    -2.533   -0.8104   True
   C16    C18   -1.3304  0.001   -2.1916   -0.4691   True
   C16    C19   -1.3351  0.001   -2.1964   -0.4738   True
   C16     C2   88.3251  0.001   87.4638   89.1864   True
   C16    C20   -1.7772  0.001   -2.6385   -0.9159   True
   C16    C21   -2.0239  0.001   -2.8852   -1.1626   True
   C16    C22   -1.6951  0.001   -2.5564   -0.8338   True
   C16    C23   -1.4241  0.001   -2.2854   -0.5628   True
   C16    C24   -1.7872  0.001   -2.6485   -0.9259   True
   C16    C25    -1.505  0.001   -2.3663   -0.6437   True
   C16    C26    -1.921  0.001   -2.7823   -1.0597   True
   C16    C27   -2.0657  0.001    -2.927   -1.2045   True
   C16     C3   72.6321  0.001   71.7708   73.4934   True
   C16     C4   32.8678  0.001   32.0065   33.7291   True
   C16     C5  122.3961  0.001  121.5348  123.2574   True
   C16     C6  112.1485  0.001  111.2872  113.0098   True
   C16     C7   85.9641  0.001   85.1028   86.8254   True
   C16     C8  100.9549  0.001  100.0936  101.8162   True
   C16     C9   80.5205  0.001   79.6592   81.3818   True
   C17    C18    0.3414    0.9   -0.5199    1.2027  False
   C17    C19    0.3366    0.9   -0.5247    1.1979  False
   C17     C2   89.9969  0.001   89.1356   90.8582   True
   C17    C20   -0.1055    0.9   -0.9668    0.7558  False
   C17    C21   -0.3522    0.9   -1.2135    0.5091  False
   C17    C22   -0.0233    0.9   -0.8846     0.838  False
   C17    C23    0.2477    0.9   -0.6136    1.1089  False
   C17    C24   -0.1155    0.9   -0.9768    0.7458  False
   C17    C25    0.1667    0.9   -0.6946     1.028  False
   C17    C26   -0.2493    0.9   -1.1106     0.612  False
   C17    C27    -0.394    0.9   -1.2553    0.4673  False
   C17     C3   74.3039  0.001   73.4426   75.1652   True
   C17     C4   34.5395  0.001   33.6782   35.4008   True
   C17     C5  124.0679  0.001  123.2066  124.9292   True
   C17     C6  113.8202  0.001  112.9589  114.6815   True
   C17     C7   87.6359  0.001   86.7746   88.4972   True
   C17     C8  102.6266  0.001  101.7653  103.4879   True
   C17     C9   82.1922  0.001   81.3309   83.0535   True
   C18    C19   -0.0048    0.9   -0.8661    0.8565  False
   C18     C2   89.6555  0.001   88.7942   90.5168   True
   C18    C20   -0.4468    0.9   -1.3081    0.4144  False
   C18    C21   -0.6936 0.2928   -1.5548    0.1677  False
   C18    C22   -0.3647    0.9    -1.226    0.4966  False
   C18    C23   -0.0937    0.9    -0.955    0.7676  False
   C18    C24   -0.4568    0.9   -1.3181    0.4044  False
   C18    C25   -0.1747    0.9   -1.0359    0.6866  False
   C18    C26   -0.5907 0.5855    -1.452    0.2706  False
   C18    C27   -0.7354 0.1998   -1.5967    0.1259  False
   C18     C3   73.9625  0.001   73.1012   74.8238   True
   C18     C4   34.1982  0.001   33.3369   35.0594   True
   C18     C5  123.7265  0.001  122.8652  124.5878   True
   C18     C6  113.4788  0.001  112.6175  114.3401   True
   C18     C7   87.2945  0.001   86.4332   88.1558   True
   C18     C8  102.2852  0.001   101.424  103.1465   True
   C18     C9   81.8508  0.001   80.9895   82.7121   True
   C19     C2   89.6603  0.001    88.799   90.5215   True
   C19    C20   -0.4421    0.9   -1.3034    0.4192  False
   C19    C21   -0.6888 0.3048   -1.5501    0.1725  False
   C19    C22   -0.3599    0.9   -1.2212    0.5013  False
   C19    C23    -0.089    0.9   -0.9503    0.7723  False
   C19    C24   -0.4521    0.9   -1.3134    0.4092  False
   C19    C25   -0.1699    0.9   -1.0312    0.6914  False
   C19    C26   -0.5859 0.5985   -1.4472    0.2754  False
   C19    C27   -0.7306 0.2093   -1.5919    0.1307  False
   C19     C3   73.9673  0.001    73.106   74.8285   True
   C19     C4   34.2029  0.001   33.3416   35.0642   True
   C19     C5  123.7313  0.001    122.87  124.5925   True
   C19     C6  113.4836  0.001  112.6223  114.3449   True
   C19     C7   87.2993  0.001    86.438   88.1605   True
   C19     C8    102.29  0.001  101.4287  103.1513   True
   C19     C9   81.8556  0.001   80.9943   82.7169   True
    C2    C20  -90.1023  0.001  -90.9636   -89.241   True
    C2    C21   -90.349  0.001  -91.2103  -89.4878   True
    C2    C22  -90.0202  0.001  -90.8815  -89.1589   True
    C2    C23  -89.7492  0.001  -90.6105  -88.8879   True
    C2    C24  -90.1123  0.001  -90.9736   -89.251   True
