   Multiple Comparison of Means - Tukey HSD, FWER=0.05   
=========================================================
group1 group2  meandiff p-adj    lower     upper   reject
   C13    C20   -1.2986  0.001   -1.9097   -0.6874   True
   C13    C21   -1.5606  0.001   -2.1718   -0.9495   True
   C13    C22   -1.6664  0.001   -2.2775   -1.0552   True
   C13    C23   -1.0919  0.001   -1.7031   -0.4807   True
   C13    C24   -1.3078  0.001   -1.9189   -0.6966   True
   C13    C25   -0.7077 0.0082   -1.3189   -0.0966   True
   C13    C26   -1.1893  0.001   -1.8005   -0.5781   True
   C13    C27   -1.7924  0.001   -2.4036   -1.1813   True
   C13     C3   72.0452  0.001   71.4341   72.6564   True
   C13     C4   33.1252  0.001   32.5141   33.7364   True
   C13     C5  122.8212  0.001  122.2101  123.4324   True
   C13     C6  112.1459  0.001  111.5347  112.7571   True
   C13     C7   86.3092  0.001   85.6981   86.9204   True
   C13     C8  101.2146  0.001  100.6035  101.8258   True
   C13     C9   80.7636  0.001   80.1524   81.3747   True
   C14    C15    0.0216    0.9   -0.5896    0.6327  False
   C14    C16   -0.4219 0.5746   -1.0331    0.1892  False
   C14    C17    -0.689 0.0119   -1.3002   -0.0779   True
   C14    C18   -0.4673 0.3911   -1.0785    0.1439  False
   C14    C19   -0.9757  0.001   -1.5868   -0.3645   True
   C14     C2   88.8935  0.001   88.2823   89.5047   True
   C14    C20    -1.006  0.001   -1.6171   -0.3948   True
   C14    C21    -1.268  0.001   -1.8792   -0.6568   True
   C14    C22   -1.3737  0.001   -1.9849   -0.7626   True
   C14    C23   -0.7993 0.0012   -1.4105   -0.1881   True
   C14    C24   -1.0152  0.001   -1.6263    -0.404   True
   C14    C25   -0.4151 0.6009   -1.0263     0.196  False
   C14    C26   -0.8967  0.001   -1.5078   -0.2855   True
   C14    C27   -1.4998  0.001    -2.111   -0.8886   True
   C14     C3   72.3378  0.001   71.7267    72.949   True
   C14     C4   33.4178  0.001   32.8067    34.029   True
   C14     C5  123.1138  0.001  122.5027   123.725   True
   C14     C6  112.4385  0.001  111.8273  113.0497   True
   C14     C7   86.6018  0.001   85.9907    87.213   True
   C14     C8  101.5073  0.001  100.8961  102.1184   True
   C14     C9   81.0562  0.001    80.445   81.6673   True
   C15    C16   -0.4435 0.4915   -1.0547    0.1677  False
   C15    C17   -0.7106 0.0078   -1.3217   -0.0994   True
   C15    C18   -0.4889 0.3044      -1.1    0.1223  False
   C15    C19   -0.9972  0.001   -1.6084   -0.3861   True
   C15     C2    88.872  0.001   88.2608   89.4831   True
   C15    C20   -1.0275  0.001   -1.6387   -0.4163   True
   C15    C21   -1.2896  0.001   -1.9007   -0.6784   True
   C15    C22   -1.3953  0.001   -2.0064   -0.7841   True
   C15    C23   -0.8208  0.001    -1.432   -0.2097   True
   C15    C24   -1.0367  0.001   -1.6479   -0.4256   True
   C15    C25   -0.4367 0.5178   -1.0478    0.1745  False
   C15    C26   -0.9182  0.001   -1.5294   -0.3071   True
   C15    C27   -1.5214  0.001   -2.1325   -0.9102   True
   C15     C3   72.3163  0.001   71.7051   72.9274   True
   C15     C4   33.3963  0.001   32.7851   34.0074   True
   C15     C5  123.0923  0.001  122.4811  123.7034   True
   C15     C6   112.417  0.001  111.8058  113.0281   True
   C15     C7   86.5803  0.001   85.9691   87.1914   True
   C15     C8  101.4857  0.001  100.8745  102.0969   True
   C15     C9   81.0346  0.001   80.4235   81.6458   True
   C16    C17   -0.2671    0.9   -0.8783    0.3441  False
   C16    C18   -0.0454    0.9   -0.6565    0.5658  False
   C16    C19   -0.5537  0.126   -1.1649    0.0574  False
   C16     C2   89.3155  0.001   88.7043   89.9266   True
   C16    C20    -0.584 0.0793   -1.1952    0.0272  False
   C16    C21   -0.8461  0.001   -1.4572   -0.2349   True
   C16    C22   -0.9518  0.001    -1.563   -0.3406   True
   C16    C23   -0.3773 0.7466   -0.9885    0.2338  False
   C16    C24   -0.5932 0.0681   -1.2044    0.0179  False
   C16    C25    0.0068    0.9   -0.6043     0.618  False
   C16    C26   -0.4747 0.3593   -1.0859    0.1364  False
   C16    C27   -1.0779  0.001    -1.689   -0.4667   True
   C16     C3   72.7598  0.001   72.1486   73.3709   True
   C16     C4   33.8398  0.001   33.2286   34.4509   True
   C16     C5  123.5358  0.001  122.9246  124.1469   True
   C16     C6  112.8605  0.001  112.2493  113.4716   True
   C16     C7   87.0238  0.001   86.4126   87.6349   True
   C16     C8  101.9292  0.001   101.318  102.5404   True
   C16     C9   81.4781  0.001    80.867   82.0893   True
   C17    C18    0.2217    0.9   -0.3894    0.8329  False
   C17    C19   -0.2867    0.9   -0.8978    0.3245  False
   C17     C2   89.5825  0.001   88.9714   90.1937   True
   C17    C20   -0.3169    0.9   -0.9281    0.2942  False
   C17    C21    -0.579  0.086   -1.1901    0.0322  False
   C17    C22   -0.6847  0.013   -1.2959   -0.0735   True
   C17    C23   -0.1103    0.9   -0.7214    0.5009  False
   C17    C24   -0.3261    0.9   -0.9373     0.285  False
   C17    C25    0.2739    0.9   -0.3373    0.8851  False
   C17    C26   -0.2076    0.9   -0.8188    0.4035  False
   C17    C27   -0.8108  0.001   -1.4219   -0.1996   True
   C17     C3   73.0269  0.001   72.4157    73.638   True
   C17     C4   34.1069  0.001   33.4957    34.718   True
   C17     C5  123.8029  0.001  123.1917   124.414   True
   C17     C6  113.1275  0.001  112.5164  113.7387   True
   C17     C7   87.2909  0.001   86.6797    87.902   True
