   Multiple Comparison of Means - Tukey HSD, FWER=0.05   
=========================================================
group1 group2  meandiff p-adj    lower     upper   reject
---------------------------------------------------------
    C1    C10 -104.4894  0.001 -104.8376 -104.1413   True
    C1    C11  -102.108  0.001 -102.4562 -101.7599   True
    C1    C12 -104.1519  0.001 -104.5001 -103.8038   True
    C1    C13  -104.337  0.001 -104.6852 -103.9889   True
    C1    C14 -104.4027  0.001 -104.7509 -104.0546   True
    C1    C15 -102.3708  0.001  -102.719 -102.0227   True
    C1    C16 -103.9408  0.001  -104.289 -103.5927   True
    C1    C17 -104.2279  0.001  -104.576 -103.8798   True
    C1    C18 -105.5877  0.001 -105.9359 -105.2396   True
    C1    C19 -104.8954  0.001 -105.2435 -104.5472   True
    C1     C2  -15.8738  0.001   -16.222  -15.5257   True
    C1    C20 -105.7584  0.001 -106.1065 -105.4102   True
    C1    C21 -105.5151  0.001 -105.8632 -105.1669   True
    C1    C22 -106.1364  0.001 -106.4846 -105.7883   True
    C1    C23 -105.3182  0.001 -105.6663   -104.97   True
    C1    C24 -105.5727  0.001 -105.9208 -105.2245   True
    C1    C25 -105.0896  0.001 -105.4378 -104.7415   True
    C1    C26   -105.64  0.001 -105.9881 -105.2918   True
    C1    C27 -106.3503  0.001 -106.6984 -106.0021   True
    C1     C3  -31.7091  0.001  -32.0572   -31.361   True
    C1     C4  -71.4974  0.001  -71.8456  -71.1493   True
    C1     C5   18.0474  0.001   17.6992   18.3955   True
    C1     C6    7.1183  0.001    6.7702    7.4665   True
    C1     C7  -18.3589  0.001   -18.707  -18.0107   True
    C1     C8   -3.3836  0.001   -3.7317   -3.0354   True
    C1     C9  -23.8481  0.001  -24.1962  -23.4999   True
   C10    C11    2.3814  0.001    2.0333    2.7296   True
   C10    C12    0.3375  0.069   -0.0106    0.6857  False
   C10    C13    0.1524    0.9   -0.1957    0.5006  False
   C10    C14    0.0867    0.9   -0.2614    0.4349  False
   C10    C15    2.1186  0.001    1.7705    2.4668   True
   C10    C16    0.5486  0.001    0.2005    0.8968   True
   C10    C17    0.2615 0.4266   -0.0866    0.6097  False
   C10    C18   -1.0983  0.001   -1.4464   -0.7501   True
   C10    C19   -0.4059 0.0075   -0.7541   -0.0578   True
   C10     C2   88.6156  0.001   88.2674   88.9637   True
   C10    C20   -1.2689  0.001   -1.6171   -0.9208   True
   C10    C21   -1.0256  0.001   -1.3738   -0.6775   True
   C10    C22    -1.647  0.001   -1.9951   -1.2988   True
   C10    C23   -0.8287  0.001   -1.1769   -0.4806   True
   C10    C24   -1.0832  0.001   -1.4314   -0.7351   True
   C10    C25   -0.6002  0.001   -0.9483    -0.252   True
   C10    C26   -1.1505  0.001   -1.4987   -0.8024   True
   C10    C27   -1.8608  0.001    -2.209   -1.5127   True
   C10     C3   72.7803  0.001   72.4322   73.1285   True
   C10     C4    32.992  0.001   32.6439   33.3401   True
   C10     C5  122.5368  0.001  122.1887   122.885   True
   C10     C6  111.6078  0.001  111.2596  111.9559   True
   C10     C7   86.1306  0.001   85.7824   86.4787   True
   C10     C8  101.1059  0.001  100.7577   101.454   True
   C10     C9   80.6414  0.001   80.2932   80.9895   True
   C11    C12   -2.0439  0.001    -2.392   -1.6958   True
   C11    C13    -2.229  0.001   -2.5771   -1.8808   True
   C11    C14   -2.2947  0.001   -2.6428   -1.9465   True
   C11    C15   -0.2628 0.4171   -0.6109    0.0854  False
   C11    C16   -1.8328  0.001   -2.1809   -1.4846   True
   C11    C17   -2.1199  0.001    -2.468   -1.7717   True
   C11    C18   -3.4797  0.001   -3.8278   -3.1316   True
   C11    C19   -2.7873  0.001   -3.1355   -2.4392   True
   C11     C2   86.2342  0.001    85.886   86.5823   True
   C11    C20   -3.6503  0.001   -3.9985   -3.3022   True
   C11    C21    -3.407  0.001   -3.7552   -3.0589   True
   C11    C22   -4.0284  0.001   -4.3765   -3.6802   True
   C11    C23   -3.2101  0.001   -3.5583    -2.862   True
   C11    C24   -3.4646  0.001   -3.8128   -3.1165   True
   C11    C25   -2.9816  0.001   -3.3297   -2.6334   True
   C11    C26   -3.5319  0.001   -3.8801   -3.1838   True
   C11    C27   -4.2422  0.001   -4.5904   -3.8941   True
   C11     C3   70.3989  0.001   70.0508   70.7471   True
   C11     C4   30.6106  0.001   30.2624   30.9587   True
   C11     C5  120.1554  0.001  119.8073  120.5036   True
   C11     C6  109.2264  0.001  108.8782  109.5745   True
   C11     C7   83.7492  0.001    83.401   84.0973   True
   C11     C8   98.7245  0.001   98.3763   99.0726   True
   C11     C9     78.26  0.001   77.9118   78.6081   True
   C12    C13   -0.1851    0.9   -0.5332    0.1631  False
   C12    C14   -0.2508 0.5041   -0.5989    0.0974  False
   C12    C15    1.7811  0.001     1.433    2.1293   True
   C12    C16    0.2111 0.7724    -0.137    0.5593  False
   C12    C17    -0.076    0.9   -0.4241    0.2722  False
   C12    C18   -1.4358  0.001    -1.784   -1.0877   True
   C12    C19   -0.7434  0.001   -1.0916   -0.3953   True
   C12     C2   88.2781  0.001   87.9299   88.6262   True
   C12    C20   -1.6064  0.001   -1.9546   -1.2583   True
   C12    C21   -1.3631  0.001   -1.7113    -1.015   True
   C12    C22   -1.9845  0.001   -2.3326   -1.6363   True
   C12    C23   -1.1662  0.001   -1.5144   -0.8181   True
   C12    C24   -1.4207  0.001   -1.7689   -1.0726   True
   C12    C25   -0.9377  0.001   -1.2858   -0.5895   True
   C12    C26    -1.488  0.001   -1.8362   -1.1399   True
   C12    C27   -2.1983  0.001   -2.5465   -1.8502   True
   C12     C3   72.4428  0.001   72.0947    72.791   True
   C12     C4   32.6545  0.001   32.3063   33.0026   True
   C12     C5  122.1993  0.001  121.8512  122.5475   True
   C12     C6  111.2703  0.001  110.9221  111.6184   True
   C12     C7   85.7931  0.001   85.4449   86.1412   True
   C12     C8  100.7684  0.001  100.4202  101.1165   True
   C12     C9   80.3039  0.001   79.9557    80.652   True
   C13    C14   -0.0657    0.9   -0.4138    0.2825  False
   C13    C15    1.9662  0.001    1.6181    2.3143   True
   C13    C16    0.3962 0.0105    0.0481    0.7444   True
   C13    C17    0.1091    0.9    -0.239    0.4573  False
   C13    C18   -1.2507  0.001   -1.5989   -0.9026   True
   C13    C19   -0.5584  0.001   -0.9065   -0.2102   True
   C13     C2   88.4632  0.001    88.115   88.8113   True
   C13    C20   -1.4213  0.001   -1.7695   -1.0732   True
   C13    C21    -1.178  0.001   -1.5262   -0.8299   True
   C13    C22   -1.7994  0.001   -2.1475   -1.4513   True
   C13    C23   -0.9811  0.001   -1.3293    -0.633   True
   C13    C24   -1.2356  0.001   -1.5838   -0.8875   True
   C13    C25   -0.7526  0.001   -1.1007   -0.4044   True
   C13    C26   -1.3029  0.001   -1.6511   -0.9548   True
   C13    C27   -2.0132  0.001   -2.3614   -1.6651   True
   C13     C3   72.6279  0.001   72.2798   72.9761   True
   C13     C4   32.8396  0.001   32.4914   33.1877   True
   C13     C5  122.3844  0.001  122.0363  122.7326   True
   C13     C6  111.4554  0.001  111.1072  111.8035   True
   C13     C7   85.9782  0.001     85.63   86.3263   True
   C13     C8  100.9534  0.001  100.6053  101.3016   True
   C13     C9    80.489  0.001   80.1408   80.8371   True
   C14    C15    2.0319  0.001    1.6837      2.38   True
   C14    C16    0.4619  0.001    0.1138    0.8101   True
   C14    C17    0.1748    0.9   -0.1733     0.523  False
   C14    C18    -1.185  0.001   -1.5332   -0.8369   True
   C14    C19   -0.4927  0.001   -0.8408   -0.1445   True
   C14     C2   88.5289  0.001   88.1807    88.877   True
   C14    C20   -1.3557  0.001   -1.7038   -1.0075   True
   C14    C21   -1.1123  0.001   -1.4605   -0.7642   True
   C14    C22   -1.7337  0.001   -2.0819   -1.3856   True
   C14    C23   -0.9155  0.001   -1.2636   -0.5673   True
   C14    C24     -1.17  0.001   -1.5181   -0.8218   True
   C14    C25   -0.6869  0.001    -1.035   -0.3388   True
   C14    C26   -1.2373  0.001   -1.5854   -0.8891   True
   C14    C27   -1.9476  0.001   -2.2957   -1.5994   True
   C14     C3   72.6936  0.001   72.3455   73.0418   True
   C14     C4   32.9053  0.001   32.5571   33.2534   True
   C14     C5  122.4501  0.001   122.102  122.7982   True
   C14     C6   111.521  0.001  111.1729  111.8692   True
   C14     C7   86.0438  0.001   85.6957    86.392   True
   C14     C8  101.0191  0.001   100.671  101.3673   True
   C14     C9   80.5546  0.001   80.2065   80.9028   True
   C15    C16     -1.57  0.001   -1.9181   -1.2218   True
   C15    C17   -1.8571  0.001   -2.2052   -1.5089   True
   C15    C18   -3.2169  0.001   -3.5651   -2.8688   True
   C15    C19   -2.5246  0.001   -2.8727   -2.1764   True
